id,name,position,year
2794,Catherine Morrissette,Crew,24
2795,Reese Bragg,Crew,25
2796,Janelle Li,Crew,25
2797,Elise Donovan,Crew,24
2798,Drew Clutterbuck,Crew,23
2799,Faye Benjamin,Crew,25
2800,Madeleine Regulla,Crew,25
2801,Zoe Chen,Crew,23
2802,Alessandra Torres,Crew,24
2803,Caroline Oyster,Crew,24
2804,Lynne Li,Crew,24
2805,Menasha Leport,Crew,25
2806,Izaiah Farr,Crew,23
2807,Ali Zaidi,Crew,24
2808,Christina Mock,Crew,24
2809,Emily DeLossa,Crew,24
2810,Jonathan Riley,Crew,23
2811,Jack Leahy,Crew,25
2812,Spencer Dellenbaugh,Crew,23
2813,Colin Martz,Crew,25
2814,Miles Bailey,Crew,25
2815,Lucian Sharpe,Crew,24
2816,Katherine Barton,Crew,23
2817,Marcus Adam,Crew,23
2818,Jack Hogan,Crew,22
2819,Emma Macturk,Crew,23
2820,Genevieve Mumma,Crew,24
2821,Katherine Shermock,Crew,24
2822,Emily Learn,Crew,23
2823,Isabelle Bicks,Crew,22
2824,Luca Bonanno,Crew,25
2825,Camille Nastasi,Crew,22
2826,James Corckran,Crew,23
2827,Maddie Sharpe,Crew,23
2828,Becca Rose,Crew,22
2829,Carlota Hopkins Guerra,Crew,22
2830,Brooke Asherman,Crew,23
2831,Margo Silliman,Crew,25
2832,Laura Slovensky,Crew,25
2833,Abigail Murray,Crew,23
2834,Grace Aronsohn,Crew,24
2835,Morgan TerMaat,Crew,23
2836,Lilia Hutchins,Crew,23
2837,Lauren Kirk,Crew,25
2838,Joshua Zeelander,Crew,24
2839,Jorge Zreik,Crew,22
2840,Eilis Casey,Crew,24
2841,Caroline Dannacher,Crew,25
2842,Danielle Powell,Crew,22
2843,Benjamin Francis,Crew,25
2844,Hunter Sugg,Crew,23
2845,Robert Rubin,Crew,23
2846,Adam Hano,Crew,23
2847,Jack Murray,Crew,22
2848,Laurentiu Taritsa,Crew,23
2849,Liliana Taub,Crew,24
2850,Kenna Reed,Crew,24
2851,Isabel D'Angelo,Crew,24
2852,Shalom Fadullon,Crew,22
2853,Aliya Ismagilova,Crew,22
2854,Amanda Hong,Crew,22
2855,Kadi Zheng,Crew,24
2856,Emily Noble,Crew,25
2857,Matthew Lotier,Crew,22
2858,Josey Buescher,Crew,22
2859,Sophia Hacket,Crew,25
2860,Saleta Powell,Crew,25
2861,Rori Bywater,Crew,25
2862,Sophia Browne,Crew,25
2863,Christine Catherman,Crew,22
2864,Imogene Dunn,Crew,25
2865,Caroline Ashby,Crew,23
2866,Olivia Sowa,Crew,24
2867,Breanna Brobst,Crew,22
2868,Zachary Spaeder,Crew,23
2869,Isabella Impalli,Crew,22
2870,Noah Turkel,Crew,23
2871,Mackenna Caryl,Crew,22
2872,Allison Hansen,Crew,23
2873,Maya Outhred,Crew,24
2874,Kelsey Kennedy,Crew,22
2875,Stephen Walters,Crew,23
2876,Phillip Thoma,Crew,23
2877,Cristina Dombrowski,Crew,23
2878,Lily Allen,Crew,23
2879,Asha Baddi,Crew,24
2880,Michaela Maclean,Crew,23
2881,Audrey Kaczmarek,Crew,23
2882,Sophie Inglis,Crew,22
2883,brandon Baswell,Crew,22
2884,William Blacketor,Crew,24
2885,Carly Irwin,Crew,25
2886,Valerie Schuster,Crew,22
2887,Andrew Horvat,Crew,24
2888,Laura Prince,Crew,24
2889,Marcelo Bernath Piccolotto,Crew,22
2890,Clara Brown,Crew,22
2891,Lucas Quinn,Crew,23
2892,Kate Thickens,Crew,23
2893,Victoria O’Hara,Crew,22
2894,Nicholas Peluchiwski,Crew,22
2895,Abigail Paul,Crew,25
2896,Meriah Kirschstein,Crew,24
2897,Maddy Gallagher,Crew,22
2898,amelia kau,Crew,23
2899,Spencer Turbin,Crew,24
2900,Daniel Burns,Crew,22
2901,frannie lambie,Crew,23
2902,Shep Thieme,Crew,25
2903,Alexander Maas,Crew,24
2904,Quinn Rowe,Crew,22
2905,Joseph Morris,Crew,22
2906,Elaina Kobal,Crew,24
2907,Noah Hallerman,Crew,23
2908,Daniel Timofeev,Crew,22
2909,Charles Soucey,Crew,22
2910,Elisabeth Bowman,Crew,22
2911,Garrett Grenauer,Crew,24
2912,Kristen Cooper,Crew,25
2913,Amelia Johnson,Crew,25
2914,Ella Smith,Crew,24
2915,Mary McLauchlin,Crew,25
2916,Hannah Marsicano,Crew,24
2917,Chloe Hudgins,Crew,24
2918,Ryan Ringel,Crew,25
2919,Franklin Tillman,Crew,21
2920,Abbie Chipps,Crew,25
2921,Isabelle Kanach,Crew,25
2922,Mark Modzelewski,Crew,23
2923,Addi Harris,Crew,24
2924,Zoe Hoctor,Crew,25
2925,Ava Walker,Crew,23
2926,Kennedy Jones,Crew,24
2927,Julia Burns,Crew,22
2928,Kaitlin Brzostek,Crew,22
2929,Rebekah Morrison,Crew,23
2930,Benjamin Garretson,Crew,24
2931,Gabrielle Buffaloe,Crew,23
2932,Genna Viggiano,Crew,22
2933,Ruohan Ding,Crew,23
2934,Emma Sullivan,Crew,23
2935,Spencer Kriegstein,Crew,25
2936,Shelby Svilich,Crew,23
2937,Mikaela Smith,Crew,22
2938,Caroline Kelly,Crew,23
2939,Libby Redmond,Crew,24
2940,Izzy Cox,Crew,23
2941,Carolyn Staples,Crew,25
2942,Matthew Caplan,Crew,25
2943,Dorothy Waskow,Crew,22
2944,Malvina Clavering,Crew,25
2945,Holliss Hirsch,Crew,25
2946,Katherine Barkin,Crew,22
2947,Anna Krylova,Crew,25
2948,Kathryn DeChambeau,Crew,22
2949,Sparsh Bansal,Crew,22
2950,Tate Bothner,Crew,25
2951,Naomi Pedersen,Crew,25
2952,Ryan Smart,Crew,22
2953,James Jagielski,Crew,25
2954,Lucy Belknap,Crew,25
2955,Lauren Krim,Crew,24
2956,Tegan Tanner,Crew,23
2957,Jonah Raymond,Crew,22
2958,David Tarazi,Crew,22
2959,Henry Tindall,Crew,25
2960,Jondall Norris,Crew,25
2961,John Seider,Crew,22
2962,Benjamin Mazzucco,Crew,24
2963,Catherine Cheung,Crew,24
2964,Tristan Walker,Crew,22
2965,Maggie Wisner,Crew,24
2966,Grace Hering,Crew,22
2967,Teddy Horangic,Crew,25
2968,Elizabeth Davis,Crew,21
2969,Michaela ODonnell,Crew,24
2970,Alice Thompson,Crew,25
2971,Sophie Lau,Crew,25
2972,Hattie Slayton,Crew,23
2973,Halle Peterlin,Crew,24
2974,Katelyn Howe,Crew,22
2975,Theodor Waalberg,Crew,22
2976,Robert Jacobs,Crew,23
2977,Nathan Graves,Crew,22
2978,Declan McGranahan,Crew,22
2979,Katherine Wetzel,Crew,23
2980,Meghan Gonzalez,Crew,23
2981,Alexander Jaber,Crew,25
2982,Savannah Young,Crew,25
2983,Felix Nizet,Crew,23
2984,Catherine Shakin,Crew,23
2985,CJ Ricci,Crew,24
2986,Margaret Benson,Crew,23
2987,Elizabeth Lonergan,Crew,22
2988,Maura Duval,Crew,24
2989,Ashley Breyer,Crew,24
2990,Callum Robbins,Crew,22
2991,Anders Landgren,Crew,25
2992,William Skelly,Crew,25
2993,Allison Rice,Crew,23
2994,Kate Johnson,Crew,25
2995,Benjamin Haddad,Crew,24
2996,Jessi Avila-Shah,Crew,25
2997,Adelaide Straub,Crew,24
2998,Maisie MacGillivray,Crew,25
2999,Rob Brower,Crew,23
3000,Sydney Zoehrer,Crew,24
3001,Renee Smith,Crew,24
3002,Oliver Rhee,Crew,25
3003,Cindy Wang,Crew,25
3004,Rachel Bonanno,Crew,25
3005,Calif Chen,Crew,23
3006,Elliot Ocheltree,Crew,24
3007,Kathy Callaghan,Crew,22
3008,Jack Nusbaum,Crew,22
3009,Morgan Swit,Crew,24
3010,Joseph Kratz,Crew,24
3011,George Hambleton,Crew,21
3012,Patrick McBride,Crew,25
3013,Isabella Hughes,Crew,24
3014,Ian Kaplan,Crew,25
3015,Myles McKnight,Crew,23
3016,Nelson Chow,Crew,23
3017,Morgan Bittmann,Crew,24
3018,Ella Marsden,Crew,24
3019,Kieran McMahon,Crew,22
3020,Kiki Bruzzi,Crew,25
3021,Joe Cooner,Crew,23
3022,Sydney Register,Crew,22
3023,Sarah Ward,Crew,24
3024,Anna Eaton,Crew,24
3025,Sarah Besecky,Crew,23
3026,Jack Umina,Crew,22
3027,Julia Chapman,Crew,21
3028,Eddie O’Keefe,Crew,25
3029,Blake Salisbury,Crew,22
3030,Maclain McAllister,Crew,24
3031,Jessie Kasper,Crew,23
3032,Brennah Satterfield,Crew,23
3033,Nicholas Silecky,Crew,25
3034,Catherine McClure,Crew,23
3035,Griffin Boothby,Crew,25
3036,megan keller,Crew,24
3037,Justin York,Crew,22
3038,Jack Rutherford,Crew,25
3039,Asha Edmondson,Crew,23
3040,William Butler,Crew,23
3041,Grace Goszkowicz,Crew,22
3042,Miles Bryant,Crew,24
3043,Adora Stephenson,Crew,25
3044,Shelby Level,Crew,24
3045,Corinne Nedeau,Crew,22
3046,Roch Gagnon,Crew,25
3047,William Popovich,Crew,22
3048,Turner Franco,Crew,24
3049,Erin Walsh,Crew,24
3050,Ishani Basak,Crew,25
3051,Joshua Durst,Crew,22
3052,Melissa Driscoll,Crew,24
3053,Lena Bercz,Crew,22
3054,Teddy Prokop,Crew,23
3055,Casey Flammini,Crew,24
3056,Bill Monroe,Crew,25
3057,Abby Lefton,Crew,23
3058,Ava Downey,Crew,24
3059,Jolene Jirousek,Crew,25
3060,Rebecca Keller,Crew,25
3061,Isabel Dhar,Crew,23
3062,Peter Jordan,Crew,23
3063,Bella Rabeni,Crew,24
3064,Clara Hewson,Crew,24
3065,Lilly Bjerke,Crew,25
3066,Eileen Mehrkens,Crew,25
3067,Emily O'Connell,Crew,24
3068,Claire Dubois,Crew,23
3069,Sophia Duff,Crew,24
3070,Raymond Domena,Crew,23
3071,Morgan Rice,Crew,25
3072,Rachel O'Neill,Crew,24
3073,Kathryn Winters,Crew,23
3074,Jonathan Kelly,Crew,23
3075,Emma Gronda,Crew,22
3076,Ellie McFall,Crew,24
3077,Aislinn O'Brien,Crew,22
3078,Dexter Mueller,Crew,23
3079,Ethan Tutt,Crew,24
3080,Liv Manula,Crew,23
3081,Saige Teti,Crew,23
3082,Audrey Fung,Crew,24
3083,Caro Gaston,Crew,25
3084,Andrew Tran,Crew,23
3085,Henry Haddon,Crew,25
3086,Lucas Masiello,Crew,23
3087,Benjamin Chitterling,Crew,25
3088,Lucy Dutton,Crew,25
3089,Katharine Kurtz,Crew,24
3090,Maggie Forger,Crew,25
3091,Courtney Tally,Crew,23
3092,Claudia Mabley,Crew,24
3093,Lucas Johnson,Crew,22
3094,Cindy Tian,Crew,23
3095,Caylin Schnoor,Crew,25
3096,Clifton Carragher,Crew,25
3097,Aisling Sullivan,Crew,22
3098,Arden Astin,Crew,24
3099,Natalie Samuels,Crew,23
3100,Sam Thompson,Crew,24
3101,Lourdes Gallo,Crew,24
3102,Courtney King,Crew,24
3103,Hadley O'Sullivan,Crew,23
3104,Haley Kent,Crew,23
3105,Jack Honan,Crew,23
3106,Isabella Welch,Crew,25
3107,Natasha Vallett,Crew,25
3108,Wyatt Fogg,Crew,23
3109,Maddie Taylor,Crew,24
3110,Gabrielle Trongone,Crew,23
3111,Abigail Lenox,Crew,23
3112,Alaina Vollmar,Crew,23
3113,Ruth Reischmann,Crew,23
3114,Charlotte McCarthy,Crew,25
3115,Robin Potter,Crew,25
3116,Jensen Nida,Crew,24
3117,Alexander Nagle,Crew,23
3118,Maple Buescher,Crew,25
3119,Hannah Fay,Crew,24
3120,Michael Kaufman,Crew,22
3121,Elena Vaamonde,Crew,24
3122,Elizabeth Johnson,Crew,22
3123,Anna Millbourn,Crew,22
3124,Meredith McIntosh,Crew,22
3125,Abigail Hendershot,Crew,24
3126,Ethan Godfry,Crew,24
3127,Ian McMillion,Crew,23
3128,Piper DeSantis,Crew,23
3129,Anthony Russo,Crew,22
3130,Brooks Jordan,Crew,24
3131,Cassandra Kohlhepp,Crew,21
3132,Karoline Tyrrell,Crew,22
3133,Elissa Martinez,Crew,23
3134,Kyle Bramson,Crew,24
3135,Dario Cannistra,Crew,22
3136,Matthew Yoder,Crew,23
3137,Lexie Foos,Crew,22
3138,Jessica Crawford,Crew,23
3139,Julia Jeffries,Crew,23
3140,Olivia Smith,Crew,23
3141,Gracie Goodman,Crew,23
3142,Rowan Schanley,Crew,24
3143,Kayla Putzke,Crew,24
3144,Lily Theisen,Crew,23
3145,Madison Henning,Crew,25
3146,Jacqueline Hanna,Crew,23
3147,Maddy Saffer,Crew,24
3148,Dylan Gorman,Crew,25
3149,Isaac Bigsby,Crew,22
3150,Eva Bambakidis,Crew,22
3151,Valeria Vita,Crew,23
3152,Amelia Burke,Crew,23
3153,Crown Steiner,Crew,23
3154,Jessica Thomas,Crew,23
3155,Aidan King,Crew,25
3156,Dima Murtada,Crew,23
3157,Guy Sloan,Crew,24
3158,Kerstin Hyer,Crew,25
3159,Jenna Spray,Crew,23
3160,Carly Wisner,Crew,25
3161,Edwin Lopez,Crew,23
3162,Hal Berdichesky,Crew,23
3163,Rose Cummins,Crew,24
3164,Lucy Vogt,Crew,24
3165,Lillian Schneider,Crew,24
3166,Matthew Conder,Crew,23
3167,Tina Zou,Crew,23
3168,Peter Spoerri,Crew,23
3169,Isabella Cipriano,Crew,25
3170,Meghan Perez,Crew,22
3171,Tyler Davis,Crew,22
3172,Erik Volk,Crew,23
3173,Lauren Miller,Crew,23
3174,Hannah Bast,Crew,25
3175,Ella Kilgore,Crew,25
3176,Katherine Muehlendorf,Crew,24
3177,Elizabeth Harrington,Crew,22
3178,Thomas Norman,Crew,23
3179,Hayden Graff,Crew,27
3180,Payne Donaldson,Crew,24
3181,Max Anstine,Crew,21
3182,Matthew Hamelsky,Crew,23
3183,Kristen Healy,Crew,24
3184,Anna Hoffman,Crew,26
3185,Elizabeth Barron,Crew,25
3186,Nicole Schafer,Crew,23
3187,Laura Rhodes,Crew,24
3188,Sophia Herrada,Crew,24
3189,Chai Mauliola,Crew,24
3190,Shea Devine,Crew,24
3191,Grayson Wright,Crew,25
3192,David Adipietro,Crew,23
3193,Jessica Schaefer,Crew,23
3194,Lucy Spearman,Crew,25
3195,Eva Leggett,Crew,24
3196,Ellie Murphy,Crew,24
3197,Gabbi DelBello,Crew,23
3198,Shaanti Choi-Bose,Crew,24
3199,Ashton Borcherding,Crew,22
3200,Maggie Costikyan,Crew,22
3201,Amelia Neumann,Crew,25
3202,Carolyn Kravets,Crew,25
3203,Rebecca Runyan,Crew,25
3204,Caroline James,Crew,24
3205,Abigail Borggaard,Crew,24
3206,Grace O'Brien,Crew,24
3207,Elisabeth Johanson,Crew,22
3208,Victoria Boatwright,Crew,22
3209,Ellie Spearman,Crew,25
3210,Mia Hanes,Crew,24
3211,Marbella Marlo,Crew,24
3212,Helen Horangic,Crew,25
3213,David Estes,Crew,22
3214,Simon Moreira,Crew,22
3215,Rowan Woods,Crew,23
3216,Finn Weeden,Crew,25
3217,Jordan Morris,Crew,23
3218,Alexander Miller,Crew,22
3219,Iain Jaeger,Crew,23
3220,Lily Bartlett,Crew,24
3221,Garrett Moen,Crew,23
3222,Jack Denker,Crew,22
3223,Luna Soley,Crew,22
3224,Aaron Blust,Crew,24
3225,Giselle Flores,Crew,23
3226,Brooke Macierowski,Crew,23
3227,Ada Oancea,Crew,24
3228,Asher Moss,Crew,25
3229,Sophia Morgan,Crew,25
3230,Warren Wegener,Crew,23
3231,Evan Spalding,Crew,24
3232,Aidan Marcario,Crew,24
3233,Mo Liu,Crew,22
3234,Jean-Michel Bus,Crew,22
3235,Sydney Phipps,Crew,25
3236,Olivia Fulghum,Crew,24
3237,Wade Anthony,Crew,24
3238,Kevin Carse,Crew,25
3239,Alejandro Amezcua,Crew,25
3240,Owen Bailey,Crew,25
3241,Josie Warfield,Crew,23
